X, Y, Speed
-3.704567122394342, -0.0013091727634443099, 1.567849557434293
-3.7466375181593214, -0.17966420002184844, 1.589423990831378
-3.7615539553384636, -0.3640086785290467, 1.6115774615926872
-3.748635302212821, -0.5526611894331274, 1.6323736113215679
-3.7063311268127004, -0.7437345711748209, 1.6539149102495276
-3.632369030548996, -0.93471742762878, 1.675943681548116
-3.5240120232348553, -1.1219115074765305, 1.69111486449785
-3.3785384975105646, -1.2995499092806373, 1.7052300847406103
-3.1953381004927692, -1.4590442785630042, 1.714499508133559
-2.9779822130473947, -1.589742636116828, 2.4298700568041878
-2.7454327090807373, -1.702546381114463, 2.8885298431012902
-2.5024257409790334, -1.8015978310770675, 3.7348680406911843
-2.2532495260238647, -1.8919700384140015, 4
-1.9898746333124997, -1.9834557307965164, 4
-1.7271379568133893, -2.0765304719124336, 4
-1.4647050643719242, -2.170361525042822, 3.4525674686825467
-1.202513887377374, -2.2618634067740135, 3.048149636001535
-0.9401552238404426, -2.3472868638495523, 2.756173608230181
-0.677213930912022, -2.4230406400405506, 2.5303857239346437
-0.4134884569493158, -2.485690248796388, 2.2130848728601262
-0.14903673125276642, -2.5319450773645946, 2.2130848728601262
0.11580171850802859, -2.5586081236472085, 2.2130848728601262
0.38034997142128935, -2.562461953872476, 2.2130848728601262
0.6431036913987362, -2.536860887758874, 2.284902666663182
0.9025930871227248, -2.4837295141710483, 2.3592737692777854
1.1575775081043944, -2.404618771667403, 2.437329795671882
1.4069282285439952, -2.3008398294901014, 2.519545354008027
1.64956839509817, -2.173568557479631, 2.6100426930397194
1.8844684414938626, -2.0240007481459723, 2.708396209070697
2.1106406541043725, -1.8534055353189802, 2.8132164122205086
2.3271339268586226, -1.663164608734129, 2.92805255972728
2.5330731530304833, -1.4548759145844476, 3.0511271951562744
2.7276748129802075, -1.2303645290849818, 3.182587215243974
2.9102821250209017, -0.9917022289037565, 3.3302951093298874
3.08047519372034, -0.7412344601133471, 3.0363743371252667
3.238088011741638, -0.48135924339294434, 2.716802994821244
3.383409379532436, -0.21414894423493566, 2.477071034772277
3.5145671084919474, 0.05962449845185359, 2.2889445431102198
3.625745285217161, 0.33880604635524325, 2.135552572449459
3.711469999686966, 0.6203119178047097, 2.007147351680627
3.7676197543145227, 0.9005048930280655, 1.895960300021498
3.7915570042832627, 1.1757180585181715, 1.795422174694868
3.7818132877908797, 1.4424416531122284, 1.5756444325943149
3.7376591305593436, 1.697283955816896, 1.5756444325943149
3.6586576250437446, 1.9367395313656015, 1.5756444325943149
3.544309428330057, 2.156743341607718, 1.5756444325943149
3.3886772043309303, 2.3470736682260736, 1.6355111763694214
3.1994897888045415, 2.5047361287640966, 1.6976020108889056
2.9837026220162404, 2.6274372429133237, 1.7642838526095266
2.7479584658394485, 2.7137355948281137, 1.8384548799642402
2.498543280190857, 2.7632845224224605, 1.9197743265787888
2.241126967264782, 2.776750683583001, 2.0115797329538005
1.9805921179909363, 2.755720423706507, 2.1169631899325796
1.7209135746423923, 2.7025035874025596, 2.239572275006355
1.46512170594709, 2.619919245998893, 2.380712095451204
1.2153580543270621, 2.511032387590639, 2.5520673243859915
0.972923167316627, 2.3791396676820913, 2.760920305687145
0.7383677222624628, 2.2275976461702687, 3.0245881413977522
0.5115855436960743, 2.0597670806116986, 2.8242075945635374
0.2919289126876322, 1.878947812561523, 2.308031458537649
0.09152341582275299, 1.700654778434013, 1.9995201205269726
-0.11327126870403369, 1.5309620581718932, 1.9995201205269726
-0.32629685008293485, 1.377783586619612, 1.9995201205269726
-0.5507594763572321, 1.2486307577249693, 1.9995201205269726
-0.7891254214858214, 1.1510978598886275, 2.289509528365213
-1.0373721458231198, 1.0779760591859149, 2.5558794436215644
-1.2933250318235998, 1.025008739230196, 2.9390120541366125
-1.5550580606242823, 0.9878333330099109, 2.854364442062397
-1.8207226796869032, 0.961745048135376, 2.3881236513389945
-2.088489055633545, 0.941702276468277, 2.0898089182518285
-2.3511984255517744, 0.9117247654884633, 1.8784412817643747
-2.6031286368350015, 0.8659567917613336, 1.7149887956350789
-2.8392847673054282, 0.8004375461232613, 1.5
-3.0548801675828203, 0.7133714240119413, 1.5
-3.2457776246219163, 0.604974557614865, 1.5
-3.4086263375360413, 0.4768418552694184, 1.5
-3.5373049595534343, 0.3297626280289675, 1.522887988796124
-3.6351704617371974, 0.16925888551577567, 1.5463873520409217
